,recipe_name,recipe_link,category
0,Korean-style roast chicken,https://www.jamieoliver.com/recipes/chicken-recipes/korean-style-roast-chicken/,chicken
1,Chicken tikka skewers,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-tikka-skewers/,chicken
2,My perfect roast chicken,https://www.jamieoliver.com/recipes/chicken-recipes/my-perfect-roast-chicken/,chicken
3,Salina chicken,https://www.jamieoliver.com/recipes/chicken-recipes/salina-chicken/,chicken
4,Chicken katsu curry,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-katsu-curry/,chicken
5,Game-on curry,https://www.jamieoliver.com/recipes/game-recipes/game-on-curry/,chicken
6,Craig David's Grenadian baked chicken,https://www.jamieoliver.com/recipes/chicken-recipes/craig-david-s-grenadian-baked-chicken/,chicken
7,Greg Davies' Thai green chicken curry,https://www.jamieoliver.com/recipes/chicken-recipes/thai-green-chicken-curry-with-aubergines/,chicken
8,Roasted game bird pie,https://www.jamieoliver.com/recipes/game-recipes/roasted-game-bird-pie/,chicken
9,Ultimate roast chicken Caesar salad,https://www.jamieoliver.com/recipes/chicken-recipes/ultimate-roast-chicken-caesar-salad/,chicken
10,Flaky pastry pesto chicken,https://www.jamieoliver.com/recipes/chicken-breast-recipes/flaky-pastry-pesto-chicken/,chicken
11,Sweet chicken surprise,https://www.jamieoliver.com/recipes/chicken-recipes/sweet-chicken-surprise/,chicken
12,Gnarly peanut chicken,https://www.jamieoliver.com/recipes/chicken-recipes/gnarly-peanut-chicken/,chicken
13,Chicken noodle stir-fry,https://www.jamieoliver.com/recipes/chicken-recipes/quick-and-easy-chicken-noodle-stir-fry/,chicken
14,Sticky kickin' wings,https://www.jamieoliver.com/recipes/chicken-recipes/sticky-kickin-wings/,chicken
15,Thai red chicken soup,https://www.jamieoliver.com/recipes/chicken-recipes/thai-red-chicken-soup/,chicken
16,Clare's chicken fajitas with cheat's mole sauce,https://www.jamieoliver.com/recipes/chicken-breast-recipes/clare-s-chicken-fajitas-with-cheat-s-mole-sauce/,chicken
17,Roast tikka chicken,https://www.jamieoliver.com/recipes/chicken-recipes/roast-tikka-chicken/,chicken
18,Chicken katsu,https://www.jamieoliver.com/recipes/chicken-breast-recipes/chicken-katsu/,chicken
19,Korean fried chicken,https://www.jamieoliver.com/recipes/chicken-recipes/korean-fried-chicken/,chicken
20,Chicken pot pie,https://www.jamieoliver.com/recipes/chicken-thighs-recipes/chicken-pot-pie/,chicken
21,Surf & turf-style skewers,https://www.jamieoliver.com/recipes/seafood-recipes/surf-turf-style-skewers/,chicken
22,Chicken & tarragon plate pie,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-tarragon-plate-pie/,chicken
23,Mediterranean 'chicken ’n’ chips',https://www.jamieoliver.com/recipes/chicken-recipes/mediterranean-chicken-n-chips/,chicken
24,Tom Daley's sweet & sour chicken,https://www.jamieoliver.com/recipes/chicken-recipes/tom-daley-s-sweet-sour-chicken/,chicken
25,Lindsay Lohan's chicken pot pie,https://www.jamieoliver.com/recipes/chicken-recipes/lindsay-lohan-s-chicken-pot-pie/,chicken
26,Sesame butterflied chicken,https://www.jamieoliver.com/recipes/chicken-recipes/sesame-butterflied-chicken/,chicken
27,Chicken satay,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-satay/,chicken
28,Gorgeous Greek chicken,https://www.jamieoliver.com/recipes/chicken-recipes/gorgeous-greek-chicken/,chicken
29,Baked chicken & porcini risotto,https://www.jamieoliver.com/recipes/chicken-recipes/baked-chicken-porcini-risotto/,chicken
30,Mushroom-stuffed roast chicken,https://www.jamieoliver.com/recipes/chicken-recipes/mushroom-stuffed-roast-chicken/,chicken
31,Chicken salpicao sub,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-salpicao-sub/,chicken
32,Xim xim de galinha,https://www.jamieoliver.com/recipes/chicken-recipes/xim-xim-de-galinha/,chicken
